"Species"	"DegSep"	"PatristicDist"
"Brachyscome_dissectifolia"	7	0.0859569499
"Brachyscome_segmentosa"	7	0.0859746414
"Brachyscome_breviscapis"	7	0.0859940262
"Brachyscome_aculeata"	7	0.0860448621
"Brachyscome_microcarpa"	7	0.0862574889
"Brachyscome_smithwhitei"	7	0.0862757562
"Brachyscome_multifida"	7	0.0863624932
"Brachyscome_decipiens"	7	0.086480987
"Brachyscome_curvicarpa"	7	0.0865544215
"Brachyscome_dentata"	7	0.0865845437
"Chondropyxis_halophila"	8	0.0871172013
"Brachyscome_trachycarpa"	7	0.0873506265
"Brachyscome_radicans"	7	0.0875451776
"Brachyscome_sieberi"	7	0.088003027
"Brachyscome_stuartii"	7	0.0880690419
"Brachyscome_kaputarensis"	7	0.0883164053
"Brachyscome_perpusilla"	7	0.0888727999
"Brachyscome_readeri"	7	0.0888807021
"Brachyscome_tadgellii"	7	0.0897006012
"Bellis_perennis"	6	0.089894875
"Brachyscome_cuneifolia"	7	0.0899630218
"Brachyscome_rigidula"	7	0.090638415
"Brachyscome_dalbyensis"	7	0.0913451788
"Brachyscome_casstiana"	7	0.0916356048
"Brachyscome_eriogona"	7	0.0925591807
"Brachyscome_ciliaris"	7	0.0926969479
"Brachyscome_debilis"	7	0.0928507923
"Brachyscome_tatei"	7	0.0931239755
"Brachyscome_iberidifolia"	7	0.0942350971
"Celmisia_asteliifolia"	9	0.094482635
"Brachyscome_exilis"	7	0.0945724852
"Celmisia_lyallii"	9	0.0948328958
"Brachyscome_parvula"	7	0.0951244779
"Brachyscome_ciliocarpa"	7	0.0954910988
"Brachyscome_cheilocarpa"	7	0.0960027123
"Olearia_speciosa"	9	0.0970135339
"Brachyscome_billabongensis"	7	0.0974062971
"Olearia_avicenniaefolia"	9	0.0984200003
"Olearia_lanceolata"	9	0.0987004074
"Allittia_uliginosa"	7	0.0987395919
"Brachyscome_gilesii"	7	0.0989205901
"Celmisia_latifolia"	9	0.1004189635
"Olearia_tasmanica"	9	0.1007450384
"Celmisia_saxifraga"	9	0.1008970709
"Olearia_viscosa"	9	0.1012948586
"Olearia_arborescens"	9	0.1013846358
"Celmisia_discolor"	9	0.1015062955
"Pleurophyllum_hookeri"	9	0.1021388879
"Celmisia_bellidioides"	9	0.1025303701
"Olearia_archeri"	9	0.1027637007
"Celmisia_costiniana"	9	0.1031361594
"Celmisia_pugioniformis"	9	0.1033010383
"Celmisia_spectabilis"	9	0.1033617051
"Olearia_nummularifolia"	9	0.1033921018
"Olearia_rosmarinifolia"	9	0.1035886692
"Celmisia_gracilenta"	9	0.103871008
"Olearia_argophylla"	9	0.1039109286
"Celmisia_longifolia"	9	0.1046569633
"Olearia_cymbifolia"	9	0.1049912892
"Olearia_pinifolia"	9	0.1051978359
"Olearia_oppositifolia"	9	0.1053397499
"Olearia_obcordata"	9	0.1053607019
"Olearia_ledifolia"	9	0.1055516677
"Olearia_cydoniifolia"	9	0.105662806
"Olearia_grandiflora"	9	0.106599191
"Olearia_alpicola"	9	0.1066652641
"Olearia_pannosa"	9	0.1069034505
"Olearia_solandri"	9	0.1069250078
"Olearia_covenyi"	9	0.1069402508
"Celmisia_tomentella"	9	0.1069633695
"Olearia_stilwelliae"	9	0.1084521826
"Olearia_erubescens"	9	0.1089168808
"Olearia_myrsinoides"	9	0.1095843701
"Olearia_megalophylla"	9	0.1104366133
"Olearia_fimbriata"	9	0.1108651951
"Brachyscome_bellidioides"	7	0.1133181384
"Ewartia_nubigena"	10	0.1741899219
"Dimorphotheca_pluvialis"	10	0.1999102177
"Cotula_coronopifolia"	10	0.2314641286
"Abrotanella_nivigena"	10	0.2347103498
